Config	T = 5
0	6
1	24
2	22
3	27
4	20
5	24
6	20
7	23
8	25
9	43
10	65
11	31
12	18
13	28
14	20
15	4

Config	T = 4.9
0	11
1	30
2	22
3	23
4	21
5	15
6	30
7	23
8	24
9	64
10	33
11	20
12	21
13	27
14	22
15	14

Config	T = 4.8
0	5
1	21
2	18
3	20
4	23
5	27
6	28
7	23
8	22
9	81
10	46
11	18
12	24
13	19
14	19
15	6

Config	T = 4.7
0	7
1	20
2	30
3	17
4	28
5	22
6	25
7	27
8	24
9	31
10	70
11	21
12	21
13	24
14	23
15	10

Config	T = 4.6
0	12
1	27
2	19
3	29
4	13
5	17
6	19
7	21
8	27
9	74
10	35
11	23
12	26
13	21
14	32
15	5

Config	T = 4.5
0	10
1	29
2	15
3	28
4	16
5	17
6	21
7	17
8	19
9	93
10	34
11	19
12	28
13	20
14	27
15	7

Config	T = 4.4
0	8
1	28
2	17
3	35
4	18
5	26
6	17
7	18
8	23
9	67
10	37
11	24
12	29
13	17
14	28
15	8

Config	T = 4.3
0	8
1	23
2	25
3	21
4	24
5	19
6	23
7	22
8	22
9	63
10	57
11	20
12	17
13	22
14	18
15	16

Config	T = 4.2
0	5
1	16
2	21
3	19
4	22
5	24
6	21
7	20
8	23
9	46
10	98
11	26
12	17
13	23
14	16
15	3

Config	T = 4.1
0	3
1	24
2	23
3	27
4	25
5	20
6	21
7	15
8	22
9	63
10	60
11	18
12	29
13	15
14	27
15	8

Config	T = 4
0	9
1	23
2	16
3	23
4	14
5	25
6	15
7	27
8	17
9	89
10	55
11	17
12	22
13	17
14	24
15	7

Config	T = 3.9
0	7
1	20
2	18
3	24
4	21
5	23
6	21
7	16
8	22
9	76
10	62
11	25
12	20
13	21
14	17
15	7

Config	T = 3.8
0	1
1	19
2	23
3	15
4	20
5	20
6	16
7	27
8	15
9	68
10	101
11	20
12	12
13	24
14	15
15	4

Config	T = 3.7
0	5
1	21
2	24
3	19
4	23
5	15
6	19
7	18
8	18
9	68
10	75
11	25
12	20
13	27
14	21
15	2

Config	T = 3.6
0	4
1	15
2	27
3	23
4	24
5	29
6	17
7	24
8	28
9	47
10	72
