T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	836	4164
4.9	756	4244
4.8	800	4200
4.7	838	4162
4.6	780	4220
4.5	748	4252
4.4	794	4206
4.3	824	4176
4.2	738	4262
4.1	704	4296
4	674	4326
3.9	704	4296
3.8	614	4386
3.7	680	4320
3.6	658	4342
3.5	652	4348
3.4	666	4334
3.3	642	4358
3.2	562	4438
3.1	640	4360
3	538	4462
2.9	572	4428
2.8	502	4498
2.7	492	4508
2.6	420	4580
2.5	410	4590
2.4	398	4602
2.3	306	4694
2.2	192	4808
2.1	140	4860
2	148	4852
1.9	66	4934
1.8	78	4922
1.7	44	4956
1.6	38	4962
1.5	40	4960
1.4	10	4990
1.3	14	4986
1.2	12	4988
1.1	2	4998
1	2	4998
0.9	0	5000
0.8	0	5000
0.7	0	5000
0.6	0	5000
0.5	0	5000
0.4	0	5000
0.3	0	5000
0.2	0	5000
0.1	0	5000
