Config	T = 5
0	62
1	177
2	116
3	172
4	120
5	166
6	174
7	167
8	165
9	282
10	255
11	168
12	121
13	173
14	117
15	65

Config	T = 4.99
0	59
1	160
2	132
3	166
4	117
5	162
6	182
7	171
8	203
9	238
10	278
11	164
12	117
13	158
14	132
15	61

Config	T = 4.98
0	59
1	163
2	149
3	154
4	141
5	159
6	170
7	176
8	169
9	248
10	246
11	165
12	130
13	174
14	138
15	59

Config	T = 4.97
0	60
1	161
2	127
3	167
4	122
5	187
6	155
7	186
8	166
9	267
10	263
11	157
12	134
13	151
14	139
15	58

Config	T = 4.96
0	80
1	170
2	116
3	189
4	117
5	159
6	184
7	139
8	202
9	270
10	198
11	176
12	134
13	157
14	133
15	76

Config	T = 4.95
0	69
1	165
2	118
3	164
4	120
5	152
6	179
7	151
8	176
9	283
10	277
11	169
12	125
13	170
14	123
15	59

Config	T = 4.94
0	79
1	167
2	143
3	162
4	127
5	155
6	157
7	176
8	168
9	211
10	261
11	179
12	126
13	184
14	142
15	63

Config	T = 4.93
0	65
1	169
2	119
3	172
4	122
5	186
6	167
7	180
8	167
9	236
10	262
11	189
12	113
13	186
14	110
15	57

Config	T = 4.92
0	58
1	169
2	131
3	171
4	133
5	152
6	171
7	148
8	171
9	241
10	295
11	182
12	120
13	180
14	118
15	60

Config	T = 4.91
0	58
1	160
2	116
3	160
4	132
5	185
6	179
7	169
8	163
9	240
10	309
11	162
12	133
13	162
14	117
15	55

Config	T = 4.9
0	61
1	172
2	137
3	175
4	133
5	168
6	164
7	169
8	171
9	217
10	268
11	182
12	113
13	179
14	117
15	74

Config	T = 4.89
0	70
1	178
2	109
3	180
4	109
5	164
6	178
7	162
8	180
9	317
10	213
11	152
12	131
13	150
14	131
15	76

Config	T = 4.88
0	52
1	168
2	129
3	165
4	119
5	198
6	150
7	211
8	157
9	268
10	255
11	166
12	113
13	169
14	123
15	57

Config	T = 4.87
0	70
1	164
2	135
3	166
4	127
5	174
6	161
7	180
8	171
9	202
10	283
11	180
12	118
13	178
14	126
15	65

Config	T = 4.86
0	54
1	151
2	158
3	149
4	152
5	170
6	155
7	178
8	159
9	194
10	323
11	185
12	109
13	187
14	115
15	61

Config	T = 4.85
0	66
1	169
2	123
3	173
4	136
5	162
6	189
7	145
8	180
9	238
10	242
11	199
12	120
13	195
14	107
15	56

Config	T = 4.84
0	47
1	168
2	111
3	182
4	128
5	175
6	176
7	144
8	173
9	307
10	261
11	173
12	129
13	159
14	112
15	55

Config	T = 4.83
0	67
1	170
2	130
