T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	22	178
4.99	32	168
4.98	28	172
4.97	40	160
4.96	16	184
4.95	26	174
4.94	26	174
4.93	26	174
4.92	30	170
4.91	18	182
4.9	28	172
4.89	30	170
4.88	28	172
4.87	32	168
4.86	26	174
4.85	28	172
4.84	28	172
4.83	34	166
4.82	28	172
4.81	24	176
4.8	36	164
4.79	34	166
4.78	50	150
4.77	28	172
4.76	26	174
4.75	30	170
4.74	34	166
4.73	28	172
4.72	26	174
4.71	36	164
4.7	20	180
4.69	18	182
4.68	24	176
4.67	20	180
4.66	26	174
4.65	32	168
4.64	26	174
4.63	38	162
4.62	32	168
4.61	28	172
4.6	30	170
4.59	18	182
4.58	30	170
4.57	20	180
4.56	28	172
4.55	30	170
4.54	28	172
4.53	40	160
4.52	24	176
4.51	22	178
4.5	26	174
4.49	22	178
4.48	24	176
4.47	22	178
4.46	28	172
4.45	30	170
4.44	14	186
4.43	26	174
4.42	26	174
4.41	28	172
4.4	22	178
4.39	26	174
4.38	20	180
4.37	34	166
4.36	24	176
4.35	26	174
4.34	34	166
4.33	22	178
4.32	28	172
4.31	28	172
4.3	20	180
4.29	26	174
4.28	36	164
4.27	22	178
4.26	22	178
4.25	36	164
4.24	34	166
4.23	22	178
4.22	26	174
4.21	18	182
4.2	28	172
4.19	24	176
4.18	24	176
4.17	22	178
4.16	20	180
4.15	38	162
4.14	34	166
4.13	26	174
4.12	24	176
4.11	28	172
4.1	28	172
4.09	24	176
4.08	24	176
4.07	24	176
4.06	28	172
4.05	28	172
4.04	32	168
4.03	26	174
4.02	16	184
4.01	26	174
4	22	178
3.99	28	172
3.98	20	180
3.97	26	174
3.96	30	170
3.95	20	180
3.94	24	176
3.93	20	180
3.92	36	164
3.91	16	184
3.9	24	176
3.89	18	182
3.88	26	174
3.87	28	172
3.86	24	176
3.85	26	174
3.84	28	172
3.83	26	174
3.82	28	172
3.81	30	170
3.8	34	166
3.79	30	170
3.78	20	180
3.77	20	180
3.76	14	186
3.75	24	176
3.74	24	176
3.73	26	174
3.72	32	168
3.71	30	170
3.7	18	182
3.69	26	174
3.68	32	168
3.67	22	178
3.66	20	180
3.65	22	178
3.64	20	180
3.63	32	168
3.62	26	174
3.61	22	178
3.6	24	176
3.59	20	180
3.58	24	176
3.57	22	178
3.56	22	178
3.55	32	168
3.54	18	182
3.53	24	176
3.52	20	180
3.51	22	178
3.5	22	178
3.49	24	176
3.48	20	180
3.47	22	178
3.46	26	174
3.45	26	174
3.44	14	186
3.43	24	176
3.42	12	188
3.41	24	176
3.4	26	174
3.39	18	182
3.38	14	186
3.37	20	180
3.36	22	178
3.35	24	176
3.34	22	178
3.33	18	182
3.32	18	182
3.31	26	174
3.3	24	176
3.29	18	182
3.28	26	174
3.27	18	182
3.26	20	180
3.25	18	182
3.24	16	184
3.23	20	180
3.22	14	186
3.21	14	186
3.2	26	174
3.19	22	178
3.18	28	172
3.17	16	184
3.16	26	174
3.15	18	182
3.14	18	182
3.13	14	186
3.12	16	184
3.11	22	178
3.1	20	180
3.09	28	172
3.08	24	176
3.07	24	176
3.06	20	180
3.05	6	194
3.04	24	176
3.03	26	174
3.02	16	184
3.01	26	174
3	24	176
2.99	22	178
2.98	24	176
2.97	20	180
2.96	18	182
2.95	20	180
2.94	16	184
2.93	8	192
2.92	26	174
2.91	22	178
2.9	22	178
2.89	16	184
2.88	22	178
2.87	28	172
2.86	16	184
2.85	4	196
2.84	18	182
2.83	22	178
2.82	16	184
2.81	16	184
2.8	34	166
2.79	20	180
2.78	16	184
2.77	18	182
2.76	26	174
2.75	26	174
2.74	24	176
2.73	24	176
2.72	16	184
2.71	14	186
2.7	20	180
