T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	708	4292
4.9	728	4272
4.8	748	4252
4.7	690	4310
4.6	636	4364
4.5	712	4288
4.4	740	4260
4.3	684	4316
4.2	642	4358
4.1	610	4390
4	636	4364
3.9	656	4344
3.8	662	4338
3.7	596	4404
3.6	604	4396
3.5	574	4426
3.4	544	4456
3.3	606	4394
3.2	566	4434
3.1	496	4504
3	524	4476
2.9	492	4508
2.8	478	4522
2.7	486	4514
2.6	430	4570
2.5	428	4572
2.4	414	4586
2.3	404	4596
2.2	356	4644
2.1	338	4662
2	334	4666
1.9	314	4686
1.8	282	4718
1.7	254	4746
1.6	230	4770
1.5	210	4790
1.4	212	4788
1.3	150	4850
1.2	108	4892
1.1	122	4878
1	80	4920
0.9	74	4926
0.8	36	4964
0.7	26	4974
0.6	12	4988
0.5	2	4998
0.4	0	5000
0.3	0	5000
0.2	0	5000
0.1	0	5000
