Config	T = 5
0	19671
1	56794
2	39537
3	56524
4	39533
5	56578
6	56677
7	56852
8	56411
9	79281
10	80121
11	56437
12	39582
13	56707
14	39586
15	19709

Config	T = 4.9
0	19345
1	56896
2	39401
3	56836
4	39337
5	56142
6	56692
7	56266
8	56696
9	80440
10	80244
11	56834
12	39229
13	56894
14	39293
15	19455

Config	T = 4.8
0	18868
1	56796
2	39326
3	56819
4	39150
5	56275
6	56725
7	56428
8	56924
9	80464
10	81290
11	57188
12	38757
13	57165
14	38933
15	18892

Config	T = 4.7
0	18753
1	56738
2	38780
3	56646
4	38679
5	56922
6	56614
7	57115
8	56623
9	81216
10	81949
11	56956
12	38738
13	57048
14	38839
15	18384

Config	T = 4.6
0	18010
1	57203
2	38581
3	56893
4	38333
5	56474
6	56798
7	57032
8	56736
9	82008
10	82906
11	56991
12	38241
13	57301
14	38489
15	18004

Config	T = 4.5
0	17675
1	57349
2	38110
3	57070
4	38230
5	56794
6	56963
7	56953
8	56564
9	82920
10	83082
11	56998
12	38158
13	57277
14	38038
15	17819

Config	T = 4.4
0	17424
1	57304
2	38058
3	57311
4	37761
5	56760
6	56773
7	57050
8	57077
9	83103
10	83464
11	57076
12	38053
13	57069
14	38350
15	17367

Config	T = 4.3
0	17206
1	57289
2	37594
3	57239
4	37614
5	56804
6	57023
7	56834
8	56953
9	84095
10	84239
11	57176
12	37845
13	57226
14	37825
15	17038

Config	T = 4.2
0	16557
1	57445
2	37436
3	57325
4	37412
5	56953
6	57020
7	57097
8	56924
9	84738
10	84931
11	57352
12	37372
13	57472
14	37396
15	16570

Config	T = 4.1
0	16176
1	57519
2	37001
3	57382
4	36925
5	57486
6	56578
7	57699
8	56517
9	85839
10	85825
11	57458
12	36899
13	57595
14	36975
15	16126

Config	T = 4
0	15654
1	57299
2	36942
3	57679
4	36678
5	57378
6	56989
7	57262
8	57633
9	86196
10	86126
11	57879
12	36390
13	57499
14	36654
15	15742

Config	T = 3.9
0	15240
1	57853
2	36296
3	57785
4	36248
5	57187
6	57460
7	57303
8	57440
9	86913
10	86891
11	57546
12	36449
13	57614
14	36497
15	15278

Config	T = 3.8
0	14896
1	57823
2	36035
3	57886
4	35963
5	57494
6	57027
7	57503
8	57162
9	87718
10	87902
11	57957
12	35880
13	57894
14	35952
15	14908

Config	T = 3.7
0	14471
1	57746
2	35160
3	57922
4	35540
5	57994
6	57382
7	57438
8	57178
9	88675
10	89654
11	58054
12	35409
13	57878
14	35029
15	14470

Config	T = 3.6
0	13811
1	58127
2	35230
3	58147
4	35051
5	57355
6	57596
7	57514
8	57795
9	89285
10	89905
11	58203
12	34813
13	58183
14	34992
15	13993

Config	T = 3.5
0	13309
1	58094
2	34775
3	57940
4	34600
5	57676
6	57706
7	58005
8	57727
9	90823
10	90843
11	58026
12	34298
13	58180
14	34473
15	13525

Config	T = 3.4
0	12910
1	58155
2	33960
3	58142
4	34185
5	57357
6	58142
7	57145
8	57904
9	92224
10	92334
11	58281
12	34236
13	58294
14	34011
15	12720

Config	T = 3.3
0	12607
1	58491
2	33525
3	58283
4	33510
5	58056
6	57760
7	58279
8	57567
9	93011
10	92063
11	58372
12	33853
13	58580
14	33868
15	12175

Config	T = 3.2
0	12067
1	58517
2	32808
3	58931
4	32889
5	57734
6	58179
7	57239
8	58512
9	93462
10	94276
11	58956
12	33038
13	58542
14	32957
15	11893

Config	T = 3.1
0	11284
1	58673
2	32583
3	58394
4	32587
5	57650
6	58586
7	57925
8	58303
9	94496
10	96010
11	58617
12	32352
13	58896
14	32348
15	11296

Config	T = 3
0	10649
1	58736
2	31898
3	58885
4	31924
5	58033
6	57700
7	57858
8	57823
9	96450
10	98087
11	58924
12	31750
13	58775
14	31724
15	10784

Config	T = 2.9
0	10299
1	58971
2	31169
3	59081
4	30941
5	58039
6	57628
7	58157
8	57966
9	98588
10	98725
11	58864
12	31133
13	58754
