Config	T = 5
0	1018
1	2896
2	1872
3	2861
4	1906
5	2898
6	2801
7	2899
8	2732
9	3754
10	3817
11	2815
12	1945
13	2850
14	1911
15	1025

Config	T = 4.9
0	993
1	2892
2	1894
3	2854
4	1889
5	2903
6	2880
7	2946
8	2847
9	3702
10	3654
11	2890
12	1877
13	2928
14	1882
15	969

Config	T = 4.8
0	924
1	2870
2	1920
3	2908
4	1896
5	2863
6	2840
7	2849
8	2902
9	3796
10	3808
11	2826
12	1884
13	2788
14	1908
15	1018

Config	T = 4.7
0	893
1	2933
2	1856
3	2880
4	1906
5	2886
6	2875
7	2889
8	2772
9	3909
10	3729
11	2875
12	1915
13	2928
14	1865
15	889

Config	T = 4.6
0	936
1	2920
2	1844
3	2925
4	1798
5	2804
6	2835
7	2845
8	2886
9	3929
10	3816
11	2891
12	1871
13	2886
14	1917
15	897

Config	T = 4.5
0	839
1	2924
2	1861
3	2878
4	1845
5	2784
6	2886
7	2846
8	2856
9	3992
10	3959
11	2879
12	1827
13	2925
14	1843
15	856

Config	T = 4.4
0	874
1	2843
2	1862
3	2852
4	1800
5	2895
6	2896
7	2948
8	2967
9	3931
10	3921
11	2899
12	1733
13	2890
14	1795
15	894

Config	T = 4.3
0	797
1	2965
2	1786
3	2947
4	1783
5	2795
6	2918
7	2816
8	2903
9	3995
10	4028
11	2888
12	1831
13	2906
14	1834
15	808

Config	T = 4.2
0	821
1	2856
2	1762
3	2925
4	1855
5	2990
6	2919
7	2828
8	2895
9	3885
10	4053
11	2997
12	1775
13	2928
14	1682
15	829

Config	T = 4.1
0	793
1	2952
2	1708
3	2959
4	1736
5	2962
6	2923
7	2927
8	2902
9	3895
10	4045
11	2967
12	1778
13	2960
14	1750
15	743

Config	T = 4
0	805
1	2884
2	1763
3	2895
4	1778
5	2881
6	2893
7	2855
8	2889
9	4055
10	4182
11	2949
12	1719
13	2938
14	1704
15	810

Config	T = 3.9
0	750
1	2921
2	1711
3	2921
4	1733
5	2898
6	3017
7	2876
8	2995
9	4093
10	4003
11	2923
12	1777
13	2923
14	1755
15	704

Config	T = 3.8
0	782
1	2967
2	1706
3	2939
4	1735
5	2844
6	2982
7	2843
8	2925
9	4063
10	4052
11	2904
12	1803
13	2932
14	1774
15	749

