T	No. of tri with 3 UH bonds	No. of tri with 1 UH bond
5	1032	6168
4.9	1062	6138
4.8	1034	6166
4.7	1010	6190
4.6	1006	6194
4.5	990	6210
4.4	960	6240
4.3	986	6214
4.2	966	6234
4.1	964	6236
4	880	6320
3.9	902	6298
3.8	848	6352
3.7	926	6274
3.6	818	6382
3.5	800	6400
3.4	734	6466
3.3	762	6438
3.2	786	6414
3.1	786	6414
3	750	6450
2.9	716	6484
2.8	678	6522
2.7	696	6504
2.6	674	6526
2.5	568	6632
2.4	592	6608
2.3	556	6644
2.2	544	6656
2.1	496	6704
2	468	6732
1.9	470	6730
1.8	404	6796
1.7	376	6824
1.6	362	6838
1.5	322	6878
1.4	260	6940
1.3	258	6942
1.2	210	6990
1.1	140	7060
1	118	7082
0.9	86	7114
0.8	62	7138
0.7	40	7160
0.6	8	7192
0.5	4	7196
0.4	0	7200
0.3	0	7200
0.2	0	7200
0.1	0	7200
